loss,mean_absolute_error,val_loss,val_mean_absolute_error
0.08875132352113724,0.2655571401119232,0.04461680352687836,0.15315654873847961
0.04258599132299423,0.15409651398658752,0.03863118588924408,0.12584608793258667
0.03787907958030701,0.13178199529647827,0.03896990045905113,0.12929071485996246
0.03613496571779251,0.1235610619187355,0.03810218721628189,0.11758936196565628
0.034959323704242706,0.11889101564884186,0.03515007346868515,0.11261460185050964
0.03395228460431099,0.11544614285230637,0.035210635513067245,0.11982164531946182
0.033041562885046005,0.11273973435163498,0.034804075956344604,0.11435582488775253
0.032078273594379425,0.1098225936293602,0.034748345613479614,0.10862725973129272
0.03160817176103592,0.10823540389537811,0.03357888013124466,0.10991620272397995
0.030882662162184715,0.10621608793735504,0.03377387300133705,0.10616379976272583
0.030200498178601265,0.10429587215185165,0.034568000584840775,0.1061120256781578
0.02964509278535843,0.10278215259313583,0.03390279784798622,0.1078273132443428
0.029254073277115822,0.10157686471939087,0.03425830602645874,0.11090607196092606
0.02875063382089138,0.10022316873073578,0.03321421891450882,0.10454988479614258
0.02836599573493004,0.09916982799768448,0.03443315625190735,0.11196502298116684
0.02804732881486416,0.09834584593772888,0.0334959477186203,0.1065325140953064
0.027556810528039932,0.09697666019201279,0.033640097826719284,0.10211269557476044
0.027281589806079865,0.09626056998968124,0.03330865874886513,0.10478901863098145
0.02696317806839943,0.09540804475545883,0.03328550606966019,0.10697271674871445
0.026733675971627235,0.09477584064006805,0.03345952183008194,0.10496179014444351
