loss,binary_accuracy,val_loss,val_binary_accuracy
0.058115892112255096,0.9229178428649902,0.057986848056316376,0.9229874014854431
0.05718407779932022,0.9239859580993652,0.057737480849027634,0.9232724905014038
0.05696241930127144,0.9241771101951599,0.05755709111690521,0.9236283302307129
0.056629084050655365,0.9245700240135193,0.057234346866607666,0.9237987399101257
0.05616331472992897,0.9250014424324036,0.05585051700472832,0.9255177974700928
0.055886831134557724,0.9253549575805664,0.055488936603069305,0.9256999492645264
0.05549250915646553,0.9257999658584595,0.05587095022201538,0.9254885911941528
0.05510057136416435,0.9262459874153137,0.0550190806388855,0.9264230132102966
0.05476036295294762,0.9266215562820435,0.05409938097000122,0.9274502396583557
0.05444951355457306,0.9270195960998535,0.05424775555729866,0.9274271726608276
