loss,mean_absolute_error,val_loss,val_mean_absolute_error
0.045926399528980255,0.139311745762825,0.0624191053211689,0.18886908888816833
0.044872771948575974,0.136875718832016,0.04807162657380104,0.1313280612230301
0.04358559846878052,0.13467004895210266,0.0491049587726593,0.12794333696365356
0.042963966727256775,0.13252398371696472,0.04671148583292961,0.14776061475276947
0.041956495493650436,0.13119089603424072,0.04768950492143631,0.12362468987703323
0.04115745425224304,0.12857326865196228,0.04434807226061821,0.1213303804397583
0.040418777614831924,0.1271457076072693,0.04431859776377678,0.13868248462677002
0.03998921439051628,0.12646006047725677,0.04249141737818718,0.12492810934782028
0.03918866813182831,0.12416650354862213,0.040640510618686676,0.12540045380592346
0.03820567950606346,0.12206239998340607,0.039012327790260315,0.12918497622013092
0.037612538784742355,0.12069836258888245,0.03984135016798973,0.11536169052124023
0.03688658028841019,0.11862019449472427,0.045962750911712646,0.1381688266992569
