loss,binary_accuracy,val_loss,val_binary_accuracy
0.11314988136291504,0.850253164768219,0.19972246885299683,0.7713932991027832
0.09815642982721329,0.8712031245231628,0.2027108520269394,0.7694778442382812
0.09457846730947495,0.875584065914154,0.19320598244667053,0.7712615728378296
0.09312163293361664,0.8772624731063843,0.16037264466285706,0.8035072684288025
0.09171686321496964,0.8791864514350891,0.1458009034395218,0.8200510740280151
0.0901554748415947,0.8810497522354126,0.12490108609199524,0.8394606113433838
0.08922529220581055,0.8823022842407227,0.10983061790466309,0.858918309211731
0.08859468996524811,0.8830945491790771,0.12178478389978409,0.8305659890174866
0.08718569576740265,0.8848040699958801,0.09415203332901001,0.8759803771972656
0.08705714344978333,0.8848990201950073,0.08719469606876373,0.8848555684089661
0.0858689621090889,0.886699378490448,0.1048419252038002,0.8572914004325867
0.08561068773269653,0.8869083523750305,0.10365129262208939,0.8616635203361511
